country,year,years_since_2015,attack_type,target_industry,financial_loss_million,affected_users,loss_per_user_usd,attack_source,vulnerability_type,defense_mechanism,impact_level,resolution_time_hours,cluster,risk_profile
China,2024,9,SQL Injection,Government,21.33,997411,21.39,Nation-state,Social Engineering,Antivirus,High,25.0,1,Widespread Low-Loss Events - Phishing-Led
France,2019,4,DDoS,Telecommunications,52.94,192293,275.31,Nation-state,Weak Passwords,VPN,Medium,57.0,0,High-Loss Targeted Events - DDoS-Led
France,2022,7,Phishing,IT,78.2,666996,117.24,Insider,Weak Passwords,Encryption,High,59.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2022,7,Ransomware,Telecommunications,16.98,905673,18.75,Insider,Weak Passwords,VPN,High,54.0,1,Widespread Low-Loss Events - Phishing-Led
India,2019,4,DDoS,IT,44.01,612030,71.91,Nation-state,Unpatched Software,Antivirus,Medium,47.0,1,Widespread Low-Loss Events - Phishing-Led
UK,2020,5,Ransomware,Banking,53.03,528708,100.3,Unattributed,Social Engineering,VPN,Medium,14.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
USA,2015,0,DDoS,Education,66.04,75167,878.58,Insider,Unpatched Software,VPN,Medium,13.0,0,High-Loss Targeted Events - DDoS-Led
India,2019,4,SQL Injection,Education,95.54,862718,110.74,Hacker Group,Weak Passwords,Antivirus,High,44.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2015,0,Malware,IT,91.94,899215,102.24,Hacker Group,Weak Passwords,Antivirus,High,59.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Germany,2020,5,DDoS,IT,63.96,650469,98.33,Unattributed,Unpatched Software,Antivirus,Medium,58.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2019,4,Man-in-the-Middle,Telecommunications,58.78,586131,100.28,Nation-state,Unpatched Software,Antivirus,Medium,68.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
India,2018,3,Ransomware,Government,43.11,11241,3835.07,Hacker Group,Weak Passwords,VPN,Low,4.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2017,2,Phishing,Education,88.43,954423,92.65,Unattributed,Unpatched Software,Firewall,High,6.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Australia,2022,7,Ransomware,Banking,32.56,979382,33.25,Nation-state,Social Engineering,Antivirus,High,43.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2017,2,DDoS,Government,58.67,12372,4742.16,Nation-state,Social Engineering,Encryption,Medium,29.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2015,0,Ransomware,Telecommunications,99.83,419344,238.06,Hacker Group,Zero-day,Firewall,High,59.0,0,High-Loss Targeted Events - DDoS-Led
France,2021,6,Malware,Banking,47.14,169113,278.75,Insider,Weak Passwords,VPN,Low,55.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2019,4,Man-in-the-Middle,Banking,22.94,844953,27.15,Unattributed,Weak Passwords,Antivirus,High,53.0,1,Widespread Low-Loss Events - Phishing-Led
India,2024,9,SQL Injection,Retail,48.83,96083,508.21,Unattributed,Weak Passwords,Firewall,Low,17.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2024,9,Ransomware,Government,52.85,927623,56.97,Nation-state,Weak Passwords,Firewall,High,29.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2020,5,Malware,IT,95.17,884741,107.57,Nation-state,Zero-day,Antivirus,High,30.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Germany,2019,4,SQL Injection,Banking,77.65,989592,78.47,Insider,Weak Passwords,Antivirus,High,49.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2021,6,Phishing,Retail,45.67,95873,476.36,Unattributed,Unpatched Software,Antivirus,Low,50.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Germany,2015,0,Ransomware,IT,51.11,506625,100.88,Insider,Weak Passwords,VPN,Medium,41.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2023,8,SQL Injection,IT,52.35,743325,70.43,Insider,Weak Passwords,VPN,Medium,9.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2023,8,Malware,Healthcare,85.28,762282,111.87,Hacker Group,Social Engineering,Firewall,High,11.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Germany,2024,9,Man-in-the-Middle,IT,93.13,952299,97.79,Unattributed,Weak Passwords,VPN,High,33.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2020,5,DDoS,Government,72.59,787260,92.21,Insider,Weak Passwords,Firewall,High,15.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
India,2021,6,Malware,Telecommunications,50.97,838461,60.79,Nation-state,Zero-day,AI-based Detection,High,6.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Germany,2018,3,Ransomware,IT,27.51,644913,42.66,Unattributed,Weak Passwords,VPN,Medium,32.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2021,6,Man-in-the-Middle,Healthcare,17.62,687020,25.65,Unattributed,Weak Passwords,Antivirus,Medium,48.0,1,Widespread Low-Loss Events - Phishing-Led
China,2020,5,Malware,Government,84.23,50842,1656.7,Insider,Zero-day,AI-based Detection,High,59.0,0,High-Loss Targeted Events - DDoS-Led
China,2024,9,SQL Injection,Banking,58.32,777684,74.99,Unattributed,Zero-day,VPN,High,31.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2016,1,Ransomware,Healthcare,37.23,209358,177.83,Nation-state,Social Engineering,Firewall,Low,25.0,2,Limited-Reach Low-Loss Events - Phishing-Led
China,2021,6,SQL Injection,Government,55.55,224311,247.65,Insider,Zero-day,Firewall,Medium,57.0,0,High-Loss Targeted Events - DDoS-Led
UK,2022,7,DDoS,Telecommunications,50.9,645154,78.9,Insider,Weak Passwords,AI-based Detection,Medium,16.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
USA,2021,6,Phishing,Education,6.01,176772,34.0,Insider,Unpatched Software,Firewall,Low,6.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Russia,2018,3,Malware,Government,59.01,309230,190.83,Hacker Group,Social Engineering,Encryption,Medium,61.0,0,High-Loss Targeted Events - DDoS-Led
India,2023,8,Ransomware,Banking,57.15,704230,81.15,Nation-state,Zero-day,VPN,Medium,71.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Australia,2024,9,Man-in-the-Middle,Healthcare,93.4,833819,112.01,Insider,Unpatched Software,Antivirus,High,14.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2015,0,Malware,Telecommunications,40.38,118734,340.09,Insider,Unpatched Software,AI-based Detection,Low,21.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Australia,2017,2,Ransomware,Government,27.38,918816,29.8,Unattributed,Weak Passwords,AI-based Detection,High,58.0,1,Widespread Low-Loss Events - Phishing-Led
UK,2017,2,Phishing,Banking,1.54,31262,49.26,Unattributed,Social Engineering,Firewall,Low,56.0,2,Limited-Reach Low-Loss Events - Phishing-Led
China,2016,1,Man-in-the-Middle,Retail,82.52,217938,378.64,Nation-state,Weak Passwords,VPN,High,69.0,0,High-Loss Targeted Events - DDoS-Led
India,2017,2,Phishing,IT,53.95,920801,58.59,Nation-state,Zero-day,Antivirus,High,52.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Germany,2024,9,Man-in-the-Middle,Government,45.75,865871,52.84,Insider,Weak Passwords,Antivirus,High,58.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2021,6,DDoS,Retail,89.79,454088,197.74,Hacker Group,Social Engineering,VPN,High,70.0,0,High-Loss Targeted Events - DDoS-Led
India,2016,1,SQL Injection,Healthcare,33.11,830670,39.86,Unattributed,Social Engineering,Antivirus,High,11.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2015,0,Ransomware,Banking,6.57,443408,14.82,Hacker Group,Weak Passwords,Encryption,Low,71.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2022,7,DDoS,Education,32.2,49715,647.69,Insider,Unpatched Software,Encryption,Low,72.0,2,Limited-Reach Low-Loss Events - Phishing-Led
USA,2024,9,Phishing,Government,58.64,146937,399.08,Hacker Group,Social Engineering,Firewall,Medium,10.0,0,High-Loss Targeted Events - DDoS-Led
USA,2019,4,DDoS,Government,49.88,441744,112.92,Unattributed,Weak Passwords,Firewall,Medium,40.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2024,9,Ransomware,Banking,12.22,860343,14.2,Hacker Group,Weak Passwords,Antivirus,High,42.0,1,Widespread Low-Loss Events - Phishing-Led
India,2016,1,Man-in-the-Middle,IT,70.24,374767,187.42,Unattributed,Unpatched Software,Antivirus,Medium,67.0,0,High-Loss Targeted Events - DDoS-Led
France,2016,1,Man-in-the-Middle,IT,62.08,801177,77.49,Nation-state,Social Engineering,Encryption,High,11.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2024,9,Man-in-the-Middle,Government,56.26,196531,286.27,Hacker Group,Zero-day,Firewall,Medium,45.0,0,High-Loss Targeted Events - DDoS-Led
Australia,2021,6,SQL Injection,IT,4.52,971908,4.65,Unattributed,Zero-day,AI-based Detection,High,16.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2020,5,Phishing,Government,37.66,449424,83.8,Unattributed,Unpatched Software,Firewall,Low,3.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Germany,2020,5,Phishing,Healthcare,69.2,162807,425.04,Hacker Group,Unpatched Software,Encryption,Medium,4.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2017,2,Phishing,Banking,61.33,762300,80.45,Nation-state,Social Engineering,VPN,High,20.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
USA,2016,1,Phishing,Government,63.35,223827,283.03,Insider,Zero-day,Antivirus,Medium,21.0,0,High-Loss Targeted Events - DDoS-Led
USA,2015,0,DDoS,Banking,98.39,306320,321.2,Insider,Unpatched Software,AI-based Detection,High,41.0,0,High-Loss Targeted Events - DDoS-Led
India,2024,9,SQL Injection,IT,8.85,746862,11.85,Nation-state,Unpatched Software,Encryption,Medium,51.0,1,Widespread Low-Loss Events - Phishing-Led
France,2019,4,Ransomware,Education,2.27,63872,35.54,Nation-state,Unpatched Software,Firewall,Low,55.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2022,7,Ransomware,Education,59.0,131307,449.33,Hacker Group,Weak Passwords,AI-based Detection,Medium,46.0,0,High-Loss Targeted Events - DDoS-Led
USA,2016,1,Man-in-the-Middle,Banking,57.26,852868,67.14,Unattributed,Unpatched Software,Firewall,High,8.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2019,4,Phishing,Retail,35.61,43771,813.55,Nation-state,Zero-day,Encryption,Low,49.0,2,Limited-Reach Low-Loss Events - Phishing-Led
USA,2022,7,Ransomware,Banking,34.58,322611,107.19,Unattributed,Unpatched Software,VPN,Low,16.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2016,1,SQL Injection,Healthcare,63.93,165204,386.98,Hacker Group,Social Engineering,Encryption,Medium,18.0,0,High-Loss Targeted Events - DDoS-Led
Russia,2016,1,Malware,Government,37.07,138915,266.85,Hacker Group,Weak Passwords,VPN,Low,44.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2023,8,Man-in-the-Middle,Retail,12.96,254903,50.84,Unattributed,Social Engineering,Firewall,Low,4.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2023,8,Malware,Healthcare,70.36,992014,70.93,Insider,Social Engineering,Encryption,High,62.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2021,6,Ransomware,Education,18.11,849791,21.31,Nation-state,Unpatched Software,VPN,High,53.0,1,Widespread Low-Loss Events - Phishing-Led
China,2016,1,SQL Injection,Healthcare,38.81,920768,42.15,Hacker Group,Unpatched Software,AI-based Detection,High,27.0,1,Widespread Low-Loss Events - Phishing-Led
India,2024,9,DDoS,Education,73.37,475719,154.23,Nation-state,Social Engineering,Firewall,Medium,52.0,0,High-Loss Targeted Events - DDoS-Led
USA,2022,7,Ransomware,Education,21.01,787752,26.67,Nation-state,Weak Passwords,Antivirus,High,9.0,1,Widespread Low-Loss Events - Phishing-Led
China,2018,3,Malware,IT,49.19,117543,418.49,Insider,Social Engineering,Encryption,Low,22.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Australia,2015,0,Malware,Retail,99.41,120048,828.09,Insider,Zero-day,Antivirus,High,12.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2022,7,Phishing,Government,71.12,76776,926.33,Unattributed,Unpatched Software,Firewall,Medium,42.0,0,High-Loss Targeted Events - DDoS-Led
Russia,2015,0,Malware,IT,95.33,282598,337.33,Unattributed,Zero-day,VPN,High,21.0,0,High-Loss Targeted Events - DDoS-Led
Russia,2019,4,Man-in-the-Middle,Telecommunications,95.66,259993,367.93,Nation-state,Weak Passwords,Antivirus,High,58.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2020,5,Malware,Banking,79.61,755029,105.44,Nation-state,Weak Passwords,Firewall,High,27.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2021,6,SQL Injection,Telecommunications,68.07,538602,126.38,Insider,Unpatched Software,VPN,Medium,19.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Germany,2021,6,Ransomware,IT,5.54,254933,21.73,Nation-state,Social Engineering,AI-based Detection,Low,41.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2019,4,DDoS,Government,74.65,491269,151.95,Nation-state,Zero-day,Firewall,High,67.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2023,8,Man-in-the-Middle,Healthcare,64.21,707978,90.69,Nation-state,Weak Passwords,VPN,Medium,41.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
India,2015,0,SQL Injection,Government,46.2,245370,188.29,Insider,Social Engineering,AI-based Detection,Low,57.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2020,5,Phishing,Retail,25.1,986980,25.43,Nation-state,Zero-day,VPN,High,71.0,1,Widespread Low-Loss Events - Phishing-Led
China,2018,3,Malware,Education,95.42,917848,103.96,Insider,Social Engineering,VPN,High,30.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2016,1,Phishing,IT,27.46,973388,28.21,Nation-state,Zero-day,AI-based Detection,High,63.0,1,Widespread Low-Loss Events - Phishing-Led
France,2019,4,Phishing,Retail,3.0,298096,10.06,Unattributed,Social Engineering,Firewall,Low,16.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2018,3,Malware,Education,86.38,1174,73577.51,Insider,Weak Passwords,VPN,High,23.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2021,6,DDoS,Telecommunications,67.87,683261,99.33,Hacker Group,Unpatched Software,Antivirus,Medium,13.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2017,2,Man-in-the-Middle,IT,71.06,871891,81.5,Unattributed,Social Engineering,Antivirus,High,52.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Australia,2021,6,SQL Injection,Telecommunications,10.28,994468,10.34,Insider,Unpatched Software,Antivirus,High,8.0,1,Widespread Low-Loss Events - Phishing-Led
France,2020,5,DDoS,Healthcare,58.8,153523,383.0,Insider,Social Engineering,Encryption,Medium,22.0,0,High-Loss Targeted Events - DDoS-Led
France,2022,7,Phishing,Healthcare,85.91,44837,1916.05,Unattributed,Zero-day,AI-based Detection,High,18.0,0,High-Loss Targeted Events - DDoS-Led
India,2024,9,DDoS,Retail,35.47,342575,103.54,Insider,Social Engineering,Firewall,Low,49.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2019,4,Phishing,IT,75.31,428615,175.71,Unattributed,Social Engineering,AI-based Detection,High,66.0,0,High-Loss Targeted Events - DDoS-Led
India,2020,5,Man-in-the-Middle,IT,28.69,939469,30.54,Insider,Unpatched Software,Encryption,High,45.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2017,2,Phishing,IT,5.14,319868,16.07,Hacker Group,Unpatched Software,VPN,Low,52.0,2,Limited-Reach Low-Loss Events - Phishing-Led
India,2023,8,Ransomware,IT,18.53,925373,20.02,Insider,Zero-day,AI-based Detection,High,4.0,1,Widespread Low-Loss Events - Phishing-Led
India,2024,9,Phishing,Banking,23.32,879162,26.53,Unattributed,Zero-day,VPN,High,38.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2024,9,Man-in-the-Middle,Government,50.36,165496,304.3,Nation-state,Weak Passwords,Encryption,Medium,72.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Brazil,2023,8,Malware,Government,19.18,993826,19.3,Unattributed,Zero-day,Firewall,High,7.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2024,9,DDoS,IT,7.99,805548,9.92,Insider,Unpatched Software,Antivirus,High,10.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2015,0,SQL Injection,Retail,74.74,562552,132.86,Nation-state,Unpatched Software,Encryption,High,37.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2020,5,Ransomware,Telecommunications,75.13,177097,424.23,Unattributed,Unpatched Software,Encryption,High,15.0,0,High-Loss Targeted Events - DDoS-Led
UK,2022,7,Ransomware,IT,63.67,560021,113.69,Unattributed,Zero-day,Encryption,Medium,43.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2018,3,SQL Injection,Healthcare,0.95,376206,2.53,Unattributed,Unpatched Software,Antivirus,Low,44.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2017,2,Ransomware,Banking,50.75,53111,955.55,Hacker Group,Social Engineering,Antivirus,Medium,15.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2021,6,DDoS,Banking,1.62,823004,1.97,Nation-state,Zero-day,Encryption,High,22.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2024,9,Phishing,IT,57.24,107681,531.57,Unattributed,Zero-day,VPN,Medium,18.0,0,High-Loss Targeted Events - DDoS-Led
Japan,2022,7,SQL Injection,Government,79.19,950425,83.32,Unattributed,Social Engineering,Antivirus,High,54.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
India,2019,4,Malware,Banking,37.03,358371,103.33,Insider,Weak Passwords,AI-based Detection,Low,30.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2016,1,Phishing,Retail,13.68,144856,94.44,Unattributed,Unpatched Software,Antivirus,Low,13.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Russia,2024,9,Malware,Education,83.29,143037,582.3,Insider,Unpatched Software,Firewall,High,47.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2022,7,Ransomware,Telecommunications,79.77,151930,525.04,Unattributed,Zero-day,Encryption,High,4.0,0,High-Loss Targeted Events - DDoS-Led
France,2023,8,DDoS,Retail,92.32,418211,220.75,Insider,Unpatched Software,Encryption,High,39.0,0,High-Loss Targeted Events - DDoS-Led
France,2022,7,Man-in-the-Middle,Retail,31.4,264380,118.77,Insider,Zero-day,VPN,Low,37.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2015,0,DDoS,Telecommunications,85.23,193852,439.67,Insider,Zero-day,VPN,High,54.0,0,High-Loss Targeted Events - DDoS-Led
Germany,2019,4,Man-in-the-Middle,Government,64.8,276197,234.62,Unattributed,Zero-day,Firewall,Medium,2.0,0,High-Loss Targeted Events - DDoS-Led
France,2020,5,Man-in-the-Middle,Healthcare,17.49,693907,25.21,Hacker Group,Zero-day,AI-based Detection,Medium,54.0,1,Widespread Low-Loss Events - Phishing-Led
Russia,2018,3,Phishing,Government,14.98,417488,35.88,Hacker Group,Weak Passwords,Encryption,Low,23.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2024,9,Malware,Education,64.05,116714,548.78,Insider,Social Engineering,Encryption,Medium,37.0,0,High-Loss Targeted Events - DDoS-Led
USA,2020,5,Phishing,Banking,74.51,332766,223.91,Hacker Group,Weak Passwords,Antivirus,Medium,53.0,0,High-Loss Targeted Events - DDoS-Led
UK,2020,5,SQL Injection,Banking,73.69,522097,141.14,Hacker Group,Weak Passwords,VPN,Medium,63.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2021,6,Malware,Government,51.05,262500,194.48,Nation-state,Social Engineering,AI-based Detection,Medium,27.0,0,High-Loss Targeted Events - DDoS-Led
France,2020,5,Ransomware,Telecommunications,10.52,253094,41.57,Hacker Group,Unpatched Software,VPN,Low,19.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2022,7,SQL Injection,IT,61.97,627852,98.7,Nation-state,Unpatched Software,VPN,Medium,23.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Germany,2015,0,SQL Injection,Government,0.72,944106,0.76,Insider,Unpatched Software,VPN,High,2.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2021,6,Ransomware,Healthcare,78.08,989151,78.94,Unattributed,Social Engineering,AI-based Detection,High,2.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Australia,2018,3,Man-in-the-Middle,Healthcare,34.29,943349,36.35,Nation-state,Zero-day,Antivirus,High,5.0,1,Widespread Low-Loss Events - Phishing-Led
Russia,2024,9,SQL Injection,Education,99.31,362492,273.96,Insider,Weak Passwords,AI-based Detection,High,63.0,0,High-Loss Targeted Events - DDoS-Led
France,2019,4,Man-in-the-Middle,Healthcare,39.48,450466,87.64,Unattributed,Unpatched Software,VPN,Low,52.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2021,6,Malware,Healthcare,58.9,984973,59.8,Unattributed,Zero-day,Encryption,High,30.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
USA,2020,5,Phishing,Healthcare,39.92,376443,106.05,Insider,Zero-day,Antivirus,Low,20.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Japan,2024,9,DDoS,Government,84.36,234154,360.28,Nation-state,Unpatched Software,VPN,High,42.0,0,High-Loss Targeted Events - DDoS-Led
Russia,2021,6,DDoS,Retail,79.06,368255,214.69,Nation-state,Social Engineering,Encryption,High,17.0,0,High-Loss Targeted Events - DDoS-Led
India,2018,3,Phishing,IT,70.85,677164,104.63,Nation-state,Weak Passwords,Firewall,Medium,7.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2024,9,Man-in-the-Middle,Education,75.95,758032,100.19,Insider,Social Engineering,Antivirus,High,30.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Russia,2024,9,DDoS,Government,94.6,82500,1146.67,Hacker Group,Zero-day,AI-based Detection,High,28.0,0,High-Loss Targeted Events - DDoS-Led
Australia,2022,7,DDoS,Telecommunications,4.81,683733,7.03,Nation-state,Zero-day,VPN,Medium,65.0,1,Widespread Low-Loss Events - Phishing-Led
Russia,2024,9,SQL Injection,Government,41.65,674211,61.78,Hacker Group,Weak Passwords,Firewall,Medium,54.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2021,6,SQL Injection,IT,34.32,673923,50.93,Hacker Group,Unpatched Software,Encryption,Medium,3.0,1,Widespread Low-Loss Events - Phishing-Led
Germany,2016,1,Phishing,Retail,27.85,963983,28.89,Unattributed,Zero-day,Encryption,High,45.0,1,Widespread Low-Loss Events - Phishing-Led
France,2019,4,Man-in-the-Middle,IT,76.35,460984,165.62,Hacker Group,Zero-day,Firewall,High,55.0,0,High-Loss Targeted Events - DDoS-Led
India,2018,3,SQL Injection,Government,18.44,27344,674.37,Nation-state,Zero-day,VPN,Low,1.0,2,Limited-Reach Low-Loss Events - Phishing-Led
USA,2018,3,Ransomware,Healthcare,27.37,543437,50.36,Unattributed,Unpatched Software,Firewall,Medium,20.0,1,Widespread Low-Loss Events - Phishing-Led
Australia,2019,4,Malware,Telecommunications,93.71,217863,430.13,Insider,Unpatched Software,VPN,High,31.0,0,High-Loss Targeted Events - DDoS-Led
China,2024,9,SQL Injection,IT,36.27,237068,152.99,Hacker Group,Zero-day,Encryption,Low,65.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Russia,2020,5,Man-in-the-Middle,IT,14.68,12585,1166.47,Unattributed,Zero-day,Antivirus,Low,30.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Russia,2018,3,DDoS,IT,5.18,826924,6.26,Insider,Social Engineering,VPN,High,35.0,1,Widespread Low-Loss Events - Phishing-Led
China,2021,6,SQL Injection,IT,97.06,329378,294.68,Nation-state,Weak Passwords,VPN,High,61.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2020,5,Phishing,Retail,50.99,826159,61.72,Insider,Weak Passwords,VPN,High,3.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2017,2,SQL Injection,Telecommunications,4.35,809757,5.37,Nation-state,Social Engineering,VPN,High,61.0,1,Widespread Low-Loss Events - Phishing-Led
Germany,2024,9,Man-in-the-Middle,Banking,53.51,680154,78.67,Nation-state,Zero-day,Firewall,Medium,2.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2015,0,Phishing,Banking,29.61,593384,49.9,Unattributed,Zero-day,Firewall,Medium,65.0,1,Widespread Low-Loss Events - Phishing-Led
UK,2018,3,Man-in-the-Middle,Government,91.52,865257,105.77,Nation-state,Social Engineering,VPN,High,19.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
USA,2020,5,DDoS,Banking,99.81,948174,105.27,Unattributed,Social Engineering,AI-based Detection,High,4.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
China,2016,1,DDoS,Banking,76.9,605118,127.08,Insider,Social Engineering,Firewall,High,30.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2015,0,Phishing,Education,2.43,552342,4.4,Unattributed,Zero-day,VPN,Medium,62.0,1,Widespread Low-Loss Events - Phishing-Led
Brazil,2020,5,Malware,Retail,89.71,529588,169.4,Nation-state,Weak Passwords,AI-based Detection,High,65.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Brazil,2023,8,SQL Injection,Telecommunications,31.54,839281,37.58,Insider,Weak Passwords,Encryption,High,25.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2023,8,SQL Injection,Banking,30.66,749609,40.9,Nation-state,Zero-day,AI-based Detection,High,28.0,1,Widespread Low-Loss Events - Phishing-Led
Japan,2018,3,Man-in-the-Middle,Telecommunications,81.61,255844,318.98,Insider,Unpatched Software,Encryption,High,8.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2022,7,Malware,Telecommunications,40.08,459643,87.2,Nation-state,Weak Passwords,Antivirus,Low,10.0,2,Limited-Reach Low-Loss Events - Phishing-Led
Australia,2022,7,Phishing,Healthcare,72.53,496317,146.14,Hacker Group,Weak Passwords,Antivirus,Medium,62.0,0,High-Loss Targeted Events - DDoS-Led
Australia,2023,8,Ransomware,Healthcare,21.54,388211,55.49,Nation-state,Weak Passwords,Antivirus,Low,22.0,2,Limited-Reach Low-Loss Events - Phishing-Led
UK,2016,1,Ransomware,Retail,32.16,329026,97.74,Nation-state,Weak Passwords,VPN,Low,31.0,2,Limited-Reach Low-Loss Events - Phishing-Led
France,2022,7,DDoS,Banking,51.33,970775,52.88,Insider,Unpatched Software,AI-based Detection,High,21.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
Japan,2020,5,Malware,Education,66.93,640603,104.48,Hacker Group,Unpatched Software,VPN,Medium,23.0,3,Critical Widespread Events - DDoS/SQL Injection-Led
France,2023,8,Ransomware,Government,63.45,90678,699.73,Nation-state,Unpatched Software,Firewall,Medium,22.0,0,High-Loss Targeted Events - DDoS-Led
Brazil,2018,3,DDoS,Healthcare,47.47,784099,60.54,Insider,Social Engineering,AI-based Detection,High,30.0,1,Widespread Low-Loss Events - Phishing-Led
USA,2024,9,Malware,Education,24.93,916209,27.21,Unattributed,Zero-day,Encryption,High,50.0,1,Widespread Low-Loss Events - Phishing-Led
