country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability_type,defense_mechanism,resolution_time_hours,years_since_2015,loss_per_user_usd,impact_level
Russia,2021,Ransomware,Banking,34.92,501490,Insider,Social Engineering,Firewall,44.0,6,69.63249516441006,Medium
India,2016,Malware,Banking,11.81,392365,Insider,Social Engineering,Antivirus,72.0,1,30.099524677277536,Low
China,2022,Malware,Education,96.72,194617,Insider,Social Engineering,Antivirus,31.0,7,496.9761120559869,High
Japan,2022,Man-in-the-Middle,Retail,44.34,516125,Unattributed,Zero-day,Firewall,67.0,7,85.90942116735287,Medium
Australia,2021,Man-in-the-Middle,Telecommunications,67.72,393335,Hacker Group,Social Engineering,Antivirus,31.0,6,172.1687619967712,Medium
UK,2018,SQL Injection,Government,34.09,197436,Unattributed,Zero-day,Antivirus,10.0,3,172.66354666828744,Low
France,2022,DDoS,Education,31.51,452360,Nation-state,Zero-day,Antivirus,65.0,7,69.65691042532497,Low
Australia,2018,DDoS,Healthcare,20.39,913090,Unattributed,Zero-day,VPN,2.0,3,22.330766956159852,High
Germany,2018,SQL Injection,Telecommunications,38.65,368222,Insider,Zero-day,VPN,56.0,3,104.96385332761214,Low
India,2022,SQL Injection,Healthcare,77.3,826937,Unattributed,Zero-day,AI-based Detection,64.0,7,93.47749586727889,High
Brazil,2015,Ransomware,Retail,89.93,673959,Hacker Group,Zero-day,Firewall,39.0,0,133.43541669448734,High
UK,2022,Ransomware,Education,4.29,383246,Nation-state,Unpatched Software,VPN,45.0,7,11.193854599917547,Low
UK,2019,Man-in-the-Middle,Banking,76.03,422890,Insider,Social Engineering,VPN,4.0,4,179.7867057627279,High
Australia,2020,Malware,Banking,42.3,497035,Hacker Group,Zero-day,AI-based Detection,66.0,5,85.1046706972346,Medium
Brazil,2023,Phishing,Government,72.57,720220,Unattributed,Weak Passwords,Firewall,71.0,8,100.76087862042154,Medium
Russia,2019,Phishing,Government,93.7,808318,Nation-state,Social Engineering,Antivirus,57.0,4,115.91972466281834,High
Germany,2022,SQL Injection,IT,68.63,294981,Unattributed,Zero-day,AI-based Detection,3.0,7,232.6590526169482,Medium
USA,2017,Phishing,Healthcare,52.7,281182,Nation-state,Zero-day,Encryption,27.0,2,187.42309251659069,Medium
Australia,2017,Ransomware,Education,66.56,95750,Nation-state,Zero-day,Antivirus,44.0,2,695.1436031331592,Medium
Brazil,2015,Ransomware,Retail,91.03,879260,Hacker Group,Social Engineering,Antivirus,16.0,0,103.53024133930805,High
Russia,2017,Man-in-the-Middle,IT,14.74,561615,Hacker Group,Weak Passwords,Antivirus,29.0,2,26.24573773848633,Medium
Brazil,2016,SQL Injection,Retail,40.29,206598,Unattributed,Zero-day,Encryption,45.0,1,195.01640867772196,Low
Brazil,2017,Man-in-the-Middle,IT,56.83,171305,Unattributed,Unpatched Software,Firewall,54.0,2,331.74746796649254,Medium
Russia,2024,SQL Injection,Government,63.45,492909,Unattributed,Zero-day,AI-based Detection,42.0,9,128.72558626440176,Medium
UK,2021,Man-in-the-Middle,IT,72.57,477493,Hacker Group,Unpatched Software,Encryption,16.0,6,151.98128558952698,Medium
Japan,2021,Phishing,Government,22.94,622723,Nation-state,Weak Passwords,AI-based Detection,67.0,6,36.83820896289362,Medium
Australia,2016,Malware,Healthcare,80.22,124155,Nation-state,Weak Passwords,Encryption,40.0,1,646.1278240908541,High
China,2024,Malware,Retail,34.49,897277,Unattributed,Zero-day,VPN,55.0,9,38.43852010025889,High
USA,2017,SQL Injection,Healthcare,51.26,28682,Hacker Group,Zero-day,VPN,44.0,2,1787.183599470051,Medium
Japan,2020,Phishing,Banking,73.04,512431,Nation-state,Unpatched Software,VPN,44.0,5,142.5362634188798,Medium
Australia,2018,SQL Injection,IT,19.14,171977,Unattributed,Zero-day,Antivirus,44.0,3,111.2939520982457,Low
UK,2015,SQL Injection,Telecommunications,38.72,943070,Hacker Group,Zero-day,VPN,36.0,0,41.057397648106715,High
Japan,2021,DDoS,Education,14.88,887855,Nation-state,Zero-day,AI-based Detection,7.0,6,16.759493385744292,High
USA,2018,Ransomware,Retail,54.05,535110,Nation-state,Zero-day,Antivirus,2.0,3,101.00726953336697,Medium
USA,2021,Man-in-the-Middle,Telecommunications,42.29,817386,Nation-state,Zero-day,Firewall,8.0,6,51.73810170470255,High
India,2018,Phishing,Banking,96.59,206552,Nation-state,Weak Passwords,Encryption,13.0,3,467.6304272047717,High
Brazil,2020,Man-in-the-Middle,Education,71.35,154966,Hacker Group,Zero-day,Antivirus,19.0,5,460.423576784585,Medium
France,2016,Phishing,Banking,54.5,511287,Unattributed,Unpatched Software,Antivirus,34.0,1,106.59375262817166,Medium
Germany,2023,SQL Injection,Banking,94.48,426499,Unattributed,Unpatched Software,VPN,37.0,8,221.52455222638272,High
UK,2016,Man-in-the-Middle,Telecommunications,73.63,15907,Hacker Group,Social Engineering,Antivirus,36.0,1,4628.779782485698,Medium
UK,2022,Phishing,Education,36.15,375734,Nation-state,Weak Passwords,AI-based Detection,31.0,7,96.21168166841436,Low
Brazil,2023,Malware,Government,19.18,993826,Unattributed,Zero-day,Firewall,7.0,8,19.299152970439494,High
India,2023,Ransomware,Banking,83.18,397813,Nation-state,Social Engineering,Antivirus,12.0,8,209.09321716484882,High
France,2024,Ransomware,Banking,70.98,185001,Insider,Zero-day,VPN,3.0,9,383.6736017643148,Medium
Japan,2024,DDoS,IT,7.99,805548,Insider,Unpatched Software,Antivirus,10.0,9,9.918713720349377,High
Brazil,2015,SQL Injection,Retail,74.74,562552,Nation-state,Unpatched Software,Encryption,37.0,0,132.85882905047,High
Brazil,2018,Malware,Education,33.12,724513,Nation-state,Zero-day,VPN,46.0,3,45.71346545886685,Medium
UK,2024,SQL Injection,Telecommunications,54.1,715395,Unattributed,Social Engineering,VPN,60.0,9,75.62255816716639,Medium
France,2020,Ransomware,Telecommunications,75.13,177097,Unattributed,Unpatched Software,Encryption,15.0,5,424.23078877677204,High
Australia,2020,Man-in-the-Middle,Banking,56.34,407084,Unattributed,Unpatched Software,Firewall,11.0,5,138.39895451552997,Medium
UK,2023,Phishing,Healthcare,23.66,889641,Hacker Group,Social Engineering,AI-based Detection,50.0,8,26.59499730790285,High
USA,2019,SQL Injection,IT,17.81,378105,Unattributed,Weak Passwords,Encryption,4.0,4,47.10331786144061,Low
Germany,2020,SQL Injection,Education,43.96,597987,Hacker Group,Weak Passwords,Encryption,50.0,5,73.51330380091875,Medium
USA,2018,Malware,Education,77.07,10600,Insider,Social Engineering,Firewall,47.0,3,7270.754716981132,High
France,2016,SQL Injection,Healthcare,10.82,586784,Hacker Group,Weak Passwords,Encryption,26.0,1,18.43949391939794,Medium
India,2023,SQL Injection,Banking,48.53,421083,Insider,Unpatched Software,AI-based Detection,28.0,8,115.25043756219083,Low
Australia,2023,Ransomware,Education,94.86,127127,Unattributed,Social Engineering,Encryption,47.0,8,746.1829509073604,High
China,2016,Malware,Government,15.92,668188,Insider,Unpatched Software,AI-based Detection,38.0,1,23.825629912539586,Medium
Japan,2018,SQL Injection,Education,11.28,433618,Hacker Group,Social Engineering,Antivirus,59.0,3,26.013680243901312,Low
Germany,2023,Malware,Telecommunications,3.86,51176,Unattributed,Social Engineering,Encryption,61.0,8,75.42598092856026,Low
Germany,2016,SQL Injection,IT,34.35,918452,Unattributed,Weak Passwords,AI-based Detection,16.0,1,37.399885894962395,High
Germany,2023,Ransomware,Healthcare,84.92,152814,Nation-state,Social Engineering,AI-based Detection,33.0,8,555.708246626618,High
USA,2017,Man-in-the-Middle,Retail,74.57,502149,Hacker Group,Weak Passwords,AI-based Detection,29.0,2,148.50173952352787,Medium
USA,2019,Ransomware,Healthcare,89.81,46960,Nation-state,Zero-day,AI-based Detection,16.0,4,1912.4787052810902,High
Brazil,2017,SQL Injection,Government,40.66,651335,Insider,Weak Passwords,Encryption,21.0,2,62.42563350656728,Medium
Brazil,2018,DDoS,Telecommunications,69.83,587034,Hacker Group,Weak Passwords,AI-based Detection,35.0,3,118.95392771117176,Medium
France,2015,Man-in-the-Middle,Healthcare,79.58,856278,Hacker Group,Zero-day,Firewall,71.0,0,92.93710687416937,High
China,2022,DDoS,Banking,79.07,880586,Hacker Group,Unpatched Software,VPN,56.0,7,89.79247909914534,High
USA,2019,DDoS,Government,81.56,78873,Hacker Group,Weak Passwords,Encryption,27.0,4,1034.0674248475398,High
Australia,2017,DDoS,Banking,62.81,810106,Hacker Group,Weak Passwords,Encryption,66.0,2,77.53306357439644,High
Germany,2021,DDoS,Government,28.71,937384,Hacker Group,Unpatched Software,Encryption,67.0,6,30.627789678509554,High
Japan,2023,Man-in-the-Middle,Retail,36.68,231307,Unattributed,Zero-day,Encryption,4.0,8,158.57712909682803,Low
China,2016,DDoS,IT,71.75,816710,Hacker Group,Weak Passwords,VPN,60.0,1,87.85248129691078,High
USA,2019,Man-in-the-Middle,Telecommunications,17.21,896828,Unattributed,Weak Passwords,Firewall,33.0,4,19.18985580289643,High
UK,2016,DDoS,Telecommunications,48.47,937466,Hacker Group,Social Engineering,AI-based Detection,28.0,1,51.70320843635929,High
China,2020,DDoS,Banking,11.72,81518,Nation-state,Social Engineering,VPN,47.0,5,143.7719276724159,Low
Brazil,2015,Malware,IT,1.35,371048,Hacker Group,Zero-day,VPN,56.0,0,3.6383432871218817,Low
USA,2019,Phishing,IT,20.13,25946,Hacker Group,Weak Passwords,AI-based Detection,68.0,4,775.8421336622215,Low
France,2017,Man-in-the-Middle,Education,14.99,942088,Insider,Zero-day,AI-based Detection,46.0,2,15.911464746393118,High
Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68.0,0,31.457120013281894,High
USA,2018,SQL Injection,Government,99.49,755576,Insider,Weak Passwords,AI-based Detection,23.0,3,131.6743782227069,High
Brazil,2018,Malware,Education,6.3,661644,Insider,Social Engineering,AI-based Detection,29.0,3,9.521736764785897,Medium
UK,2019,DDoS,Telecommunications,95.75,168951,Insider,Social Engineering,VPN,13.0,4,566.7323661890134,High
Russia,2022,Man-in-the-Middle,IT,49.87,816398,Insider,Social Engineering,Encryption,39.0,7,61.08540197305726,High
India,2017,DDoS,Education,83.49,79933,Hacker Group,Zero-day,AI-based Detection,23.0,2,1044.4997685561657,High
USA,2019,Malware,Government,83.84,506149,Nation-state,Social Engineering,Encryption,35.0,4,165.64292332890116,High
Japan,2021,Phishing,Retail,81.26,245015,Nation-state,Zero-day,Firewall,41.0,6,331.65316409199437,High
Japan,2017,SQL Injection,Banking,66.81,966993,Hacker Group,Social Engineering,VPN,64.0,2,69.09046911404737,High
Australia,2016,Malware,Education,88.87,235062,Nation-state,Weak Passwords,Firewall,32.0,1,378.0704665152173,High
Brazil,2022,Phishing,Healthcare,75.08,132520,Unattributed,Zero-day,Antivirus,56.0,7,566.5559915484455,High
Germany,2016,SQL Injection,Retail,56.57,869605,Unattributed,Social Engineering,VPN,51.0,1,65.052523847034,High
USA,2017,Phishing,Banking,96.27,637264,Hacker Group,Unpatched Software,AI-based Detection,11.0,2,151.0676893720656,High
Russia,2021,DDoS,Banking,45.6,759356,Insider,Social Engineering,VPN,1.0,6,60.0508852237949,High
Brazil,2021,DDoS,Education,69.37,666096,Hacker Group,Zero-day,Encryption,9.0,6,104.14414739016598,Medium
India,2021,SQL Injection,Telecommunications,68.91,851981,Nation-state,Zero-day,AI-based Detection,57.0,6,80.88208539861805,High
Australia,2024,Phishing,Banking,14.97,214740,Nation-state,Unpatched Software,Encryption,57.0,9,69.71221011455714,Low
Brazil,2016,Phishing,Government,35.94,372653,Hacker Group,Weak Passwords,VPN,60.0,1,96.44360839708791,Low
India,2024,Phishing,Banking,64.23,903871,Nation-state,Unpatched Software,Encryption,17.0,9,71.06102530117684,High
India,2015,Malware,Education,64.29,924049,Nation-state,Social Engineering,VPN,5.0,0,69.57423253528763,High
Australia,2020,Malware,Government,98.05,193983,Nation-state,Zero-day,Antivirus,31.0,5,505.45666372826486,High
Russia,2021,Ransomware,Telecommunications,11.04,904330,Nation-state,Weak Passwords,VPN,49.0,6,12.207932944832086,High
India,2018,SQL Injection,Education,52.05,874254,Nation-state,Zero-day,Antivirus,11.0,3,59.53647338187758,High
Germany,2020,Man-in-the-Middle,Healthcare,28.81,691190,Nation-state,Unpatched Software,Firewall,27.0,5,41.68173729365297,Medium
China,2024,DDoS,IT,61.42,412245,Nation-state,Social Engineering,Encryption,48.0,9,148.9890720324079,Medium
France,2021,Man-in-the-Middle,Healthcare,53.77,302180,Insider,Weak Passwords,AI-based Detection,11.0,6,177.94030048315574,Medium
USA,2016,Ransomware,Government,8.21,537592,Nation-state,Social Engineering,Antivirus,11.0,1,15.271804639950002,Medium
Brazil,2022,SQL Injection,Retail,25.85,632061,Nation-state,Zero-day,Antivirus,2.0,7,40.897951305332874,Medium
Brazil,2015,DDoS,Retail,67.52,224815,Nation-state,Social Engineering,Firewall,32.0,0,300.3358316838289,Medium
India,2022,DDoS,IT,23.91,169310,Unattributed,Weak Passwords,Encryption,36.0,7,141.2202468844132,Low
Japan,2023,Man-in-the-Middle,Telecommunications,86.98,635827,Nation-state,Social Engineering,Encryption,72.0,8,136.7982171250985,High
UK,2022,Ransomware,IT,63.67,560021,Unattributed,Zero-day,Encryption,43.0,7,113.69216511523675,Medium
Japan,2021,Man-in-the-Middle,Government,61.03,768506,Nation-state,Zero-day,AI-based Detection,11.0,6,79.41382370469456,High
Australia,2018,Phishing,Healthcare,39.94,755469,Hacker Group,Social Engineering,Antivirus,58.0,3,52.867821181279446,High
India,2022,Ransomware,Retail,74.05,205336,Hacker Group,Social Engineering,AI-based Detection,2.0,7,360.6284333969689,Medium
France,2020,DDoS,IT,7.52,957779,Nation-state,Social Engineering,Encryption,17.0,5,7.85149810133653,High
UK,2017,Malware,Education,29.47,85644,Hacker Group,Social Engineering,AI-based Detection,3.0,2,344.0988277053851,Low
France,2019,Man-in-the-Middle,Telecommunications,75.99,561713,Insider,Unpatched Software,Firewall,31.0,4,135.28260873435366,High
Germany,2017,Phishing,Healthcare,53.57,287762,Insider,Weak Passwords,Encryption,13.0,2,186.1607856492518,Medium
India,2015,Phishing,Healthcare,76.08,471550,Unattributed,Zero-day,VPN,5.0,0,161.34026084190435,High
Japan,2018,SQL Injection,IT,69.19,33209,Insider,Unpatched Software,AI-based Detection,66.0,3,2083.4713481285194,Medium
China,2017,Phishing,Retail,45.83,395251,Unattributed,Unpatched Software,Encryption,33.0,2,115.95163579598787,Low
Germany,2019,DDoS,IT,14.77,491791,Hacker Group,Zero-day,Encryption,66.0,4,30.033083159309545,Low
Australia,2016,Phishing,Healthcare,53.81,279874,Hacker Group,Unpatched Software,AI-based Detection,66.0,1,192.26509071939515,Medium
France,2019,Malware,IT,71.94,881326,Insider,Unpatched Software,Firewall,43.0,4,81.62700294783089,High
UK,2023,DDoS,IT,68.86,749700,Nation-state,Zero-day,AI-based Detection,35.0,8,91.8500733626784,High
UK,2022,Phishing,Government,97.56,722445,Nation-state,Weak Passwords,Firewall,10.0,7,135.04142183834063,High
USA,2023,Ransomware,Government,84.13,695841,Nation-state,Zero-day,AI-based Detection,21.0,8,120.90405710499957,High
USA,2020,SQL Injection,Government,40.95,803757,Hacker Group,Social Engineering,Firewall,33.0,5,50.94823435441309,High
Japan,2022,DDoS,IT,20.16,174510,Insider,Zero-day,AI-based Detection,60.0,7,115.52346570397111,Low
Germany,2022,SQL Injection,Retail,11.51,857660,Hacker Group,Zero-day,VPN,37.0,7,13.420236457337406,High
UK,2020,SQL Injection,Banking,47.67,729265,Unattributed,Zero-day,Firewall,42.0,5,65.36718476822554,Medium
India,2023,Phishing,Retail,38.89,836604,Hacker Group,Unpatched Software,AI-based Detection,44.0,8,46.48555349962467,High
China,2016,Malware,Government,91.69,885843,Insider,Unpatched Software,AI-based Detection,46.0,1,103.50592599365802,High
France,2015,Man-in-the-Middle,Education,17.94,808798,Unattributed,Social Engineering,Encryption,60.0,0,22.181063751394046,High
Russia,2018,Man-in-the-Middle,Telecommunications,30.5,401208,Hacker Group,Unpatched Software,VPN,10.0,3,76.0204183366234,Low
Japan,2021,Ransomware,Healthcare,77.33,380970,Nation-state,Weak Passwords,Encryption,44.0,6,202.9818620888784,High
USA,2021,Phishing,Healthcare,70.03,248437,Hacker Group,Social Engineering,Encryption,70.0,6,281.8823283166356,Medium
Australia,2024,SQL Injection,Retail,66.49,709125,Hacker Group,Weak Passwords,AI-based Detection,37.0,9,93.76344086021504,Medium
Japan,2018,Malware,Education,5.33,656250,Hacker Group,Social Engineering,Firewall,67.0,3,8.121904761904762,Medium
India,2020,Ransomware,Healthcare,10.46,32616,Unattributed,Unpatched Software,Firewall,63.0,5,320.70149619818494,Low
Australia,2017,Phishing,Healthcare,39.3,290846,Unattributed,Weak Passwords,Firewall,3.0,2,135.12305481251246,Low
India,2023,DDoS,Banking,23.83,557428,Insider,Unpatched Software,VPN,38.0,8,42.74991568417805,Medium
Japan,2015,DDoS,Banking,59.13,182440,Insider,Zero-day,Firewall,8.0,0,324.1065555799167,Medium
Australia,2021,DDoS,Government,30.24,292383,Insider,Social Engineering,Encryption,71.0,6,103.42598577892696,Low
France,2017,DDoS,Government,86.82,99728,Nation-state,Unpatched Software,VPN,44.0,2,870.5679448098829,High
USA,2015,DDoS,IT,66.39,365006,Insider,Weak Passwords,VPN,47.0,0,181.88742102869543,Medium
Russia,2019,Ransomware,Telecommunications,61.11,605427,Nation-state,Zero-day,Encryption,33.0,4,100.93702461238101,Medium
USA,2022,Malware,Retail,7.65,864358,Hacker Group,Unpatched Software,VPN,11.0,7,8.850499445831472,High
USA,2016,Ransomware,Retail,9.82,610968,Unattributed,Unpatched Software,Antivirus,26.0,1,16.072854879469954,Medium
China,2016,DDoS,IT,67.28,413150,Hacker Group,Social Engineering,Firewall,27.0,1,162.84642381701562,Medium
USA,2017,Malware,Education,13.14,681956,Nation-state,Social Engineering,Antivirus,35.0,2,19.26810527365402,Medium
Australia,2016,Man-in-the-Middle,IT,84.46,94162,Unattributed,Weak Passwords,Firewall,15.0,1,896.9648053354856,High
France,2023,Man-in-the-Middle,Retail,9.43,565002,Hacker Group,Unpatched Software,Firewall,72.0,8,16.690206406349002,Medium
France,2017,Phishing,Retail,90.69,275185,Nation-state,Zero-day,Encryption,20.0,2,329.5601141050566,High
Russia,2021,DDoS,Retail,37.47,476758,Hacker Group,Unpatched Software,AI-based Detection,19.0,6,78.59333246636659,Low
USA,2024,SQL Injection,Banking,7.2,312607,Hacker Group,Weak Passwords,Antivirus,24.0,9,23.03211380423343,Low
Russia,2017,Phishing,Banking,94.15,963192,Hacker Group,Weak Passwords,VPN,7.0,2,97.74790488293092,High
Australia,2015,Malware,Healthcare,42.15,680874,Unattributed,Zero-day,Antivirus,8.0,0,61.905727050819976,Medium
France,2018,DDoS,Government,15.71,904770,Hacker Group,Social Engineering,Antivirus,4.0,3,17.36352885263658,High
USA,2022,SQL Injection,Government,98.46,429452,Hacker Group,Weak Passwords,Antivirus,6.0,7,229.26892877434497,High
USA,2018,Ransomware,Healthcare,51.71,858128,Hacker Group,Social Engineering,Antivirus,35.0,3,60.259075569145864,High
China,2021,Malware,Education,42.26,615849,Nation-state,Unpatched Software,Encryption,44.0,6,68.62071709136492,Medium
UK,2019,Phishing,Education,99.45,467349,Nation-state,Zero-day,Firewall,44.0,4,212.79600469884392,High
France,2021,SQL Injection,Retail,63.74,235418,Nation-state,Weak Passwords,Encryption,28.0,6,270.752448835688,Medium
Australia,2017,SQL Injection,IT,5.05,823606,Insider,Weak Passwords,Encryption,25.0,2,6.131572620889115,High
China,2020,SQL Injection,IT,89.38,923489,Nation-state,Unpatched Software,Firewall,66.0,5,96.78512683962667,High
USA,2024,Phishing,IT,58.57,630793,Hacker Group,Social Engineering,AI-based Detection,64.0,9,92.85137913705447,Medium
France,2015,SQL Injection,Education,65.83,691903,Unattributed,Zero-day,VPN,54.0,0,95.14339437753559,Medium
UK,2019,Phishing,Government,79.79,133632,Hacker Group,Weak Passwords,Firewall,8.0,4,597.0875239463602,High
Australia,2017,Phishing,Banking,90.5,42278,Insider,Weak Passwords,AI-based Detection,45.0,2,2140.5932163300063,High
Germany,2016,Phishing,IT,2.1,176471,Unattributed,Zero-day,VPN,9.0,1,11.899972233398122,Low
India,2015,SQL Injection,Telecommunications,63.72,916516,Hacker Group,Social Engineering,Encryption,68.0,0,69.52415451557856,High
Japan,2023,SQL Injection,Government,87.8,510002,Hacker Group,Social Engineering,Firewall,62.0,8,172.15618762279362,High
UK,2015,Malware,IT,82.45,435994,Nation-state,Unpatched Software,Encryption,51.0,0,189.10810699229805,High
India,2016,Ransomware,IT,66.19,537670,Hacker Group,Unpatched Software,Encryption,55.0,1,123.10525043242137,Medium
Russia,2022,Malware,Banking,39.62,850339,Hacker Group,Social Engineering,Firewall,50.0,7,46.59318224849149,High
Japan,2021,DDoS,Government,35.46,937562,Unattributed,Zero-day,Firewall,10.0,6,37.82149873821678,High
France,2020,Malware,Government,10.62,405267,Nation-state,Unpatched Software,AI-based Detection,5.0,5,26.204946368690273,Low
China,2022,DDoS,Government,80.76,346279,Unattributed,Zero-day,Encryption,59.0,7,233.22234383257432,High
Brazil,2016,DDoS,Telecommunications,10.45,889928,Nation-state,Zero-day,Encryption,63.0,1,11.74252299062396,High
France,2018,SQL Injection,Healthcare,0.95,376206,Unattributed,Unpatched Software,Antivirus,44.0,3,2.5252122507349695,Low
India,2018,Ransomware,IT,27.14,227433,Unattributed,Unpatched Software,Antivirus,13.0,3,119.3318471813677,Low
Germany,2023,Ransomware,Healthcare,54.79,393779,Nation-state,Weak Passwords,Encryption,39.0,8,139.1389586544737,Medium
Russia,2022,Ransomware,IT,41.08,529025,Insider,Unpatched Software,AI-based Detection,42.0,7,77.65228486366429,Medium
Brazil,2024,Man-in-the-Middle,Education,8.94,451311,Unattributed,Weak Passwords,Encryption,14.0,9,19.80895657318346,Low
India,2017,Ransomware,Education,98.11,677198,Unattributed,Social Engineering,VPN,28.0,2,144.87638770344861,High
Russia,2024,Man-in-the-Middle,Healthcare,9.4,480988,Nation-state,Unpatched Software,Encryption,59.0,9,19.54310710454315,Low
Australia,2015,Ransomware,Telecommunications,46.39,605536,Nation-state,Unpatched Software,VPN,61.0,0,76.60981345452623,Medium
Brazil,2018,Ransomware,Banking,30.61,910960,Nation-state,Social Engineering,Antivirus,31.0,3,33.6019144638623,High
China,2018,Ransomware,Banking,43.98,386308,Nation-state,Weak Passwords,Antivirus,3.0,3,113.84698220073102,Low
Australia,2017,Man-in-the-Middle,Banking,54.38,100855,Unattributed,Social Engineering,VPN,2.0,2,539.189926131575,Medium
China,2023,Malware,Education,23.74,317922,Insider,Social Engineering,Antivirus,18.0,8,74.67240392297482,Low
USA,2018,DDoS,IT,82.13,220618,Unattributed,Weak Passwords,Firewall,59.0,3,372.27243470614366,High
India,2015,Ransomware,Telecommunications,24.7,825941,Hacker Group,Unpatched Software,VPN,54.0,0,29.905283791457258,High
China,2022,Malware,Education,60.9,331234,Unattributed,Social Engineering,Antivirus,3.0,7,183.85793728904642,Medium
China,2020,Man-in-the-Middle,Telecommunications,14.61,855055,Hacker Group,Unpatched Software,Antivirus,59.0,5,17.086620158937144,High
Japan,2022,DDoS,Telecommunications,34.31,305329,Unattributed,Unpatched Software,Firewall,40.0,7,112.37059041230934,Low
Japan,2020,Phishing,Government,32.39,442923,Nation-state,Social Engineering,Encryption,57.0,5,73.12783486068685,Low
UK,2015,Ransomware,Banking,79.3,893277,Unattributed,Social Engineering,Firewall,15.0,0,88.77425479442547,High
China,2020,Malware,Healthcare,30.86,240532,Insider,Weak Passwords,Encryption,64.0,5,128.29893735552858,Low
USA,2016,DDoS,Healthcare,93.14,947960,Nation-state,Weak Passwords,Firewall,55.0,1,98.2530908477151,High
Brazil,2018,Malware,Healthcare,52.87,437283,Insider,Zero-day,Antivirus,30.0,3,120.90568350473264,Medium
China,2019,Malware,Healthcare,29.61,761390,Insider,Weak Passwords,Antivirus,7.0,4,38.889399650638964,High
France,2019,Phishing,Retail,25.75,998507,Insider,Weak Passwords,AI-based Detection,15.0,4,25.788502233835114,High
India,2017,DDoS,Retail,82.17,593329,Hacker Group,Unpatched Software,AI-based Detection,62.0,2,138.48977548712435,High
UK,2019,Phishing,Banking,60.07,197590,Insider,Zero-day,Encryption,62.0,4,304.0133610000506,Medium
Japan,2017,Ransomware,Banking,50.75,53111,Hacker Group,Social Engineering,Antivirus,15.0,2,955.5459321044605,Medium
Australia,2017,Phishing,Retail,14.88,69641,Hacker Group,Unpatched Software,Firewall,54.0,2,213.66723625450524,Low
Germany,2022,DDoS,IT,73.98,953770,Insider,Weak Passwords,Firewall,54.0,7,77.56587017834488,High
Japan,2023,SQL Injection,Retail,42.33,643549,Nation-state,Weak Passwords,VPN,20.0,8,65.77587720593148,Medium
Brazil,2022,Man-in-the-Middle,Education,77.98,899279,Insider,Zero-day,Firewall,39.0,7,86.71391192277369,High
India,2016,Ransomware,Education,8.55,857887,Unattributed,Social Engineering,Firewall,44.0,1,9.96634754926931,High
Russia,2016,Phishing,Government,30.57,503775,Unattributed,Zero-day,VPN,71.0,1,60.68185201726961,Medium
Japan,2015,SQL Injection,IT,36.98,452892,Unattributed,Weak Passwords,VPN,17.0,0,81.65302102929617,Low
Russia,2018,Ransomware,Healthcare,24.06,327566,Unattributed,Unpatched Software,AI-based Detection,6.0,3,73.45084654695542,Low
Australia,2018,Ransomware,Education,50.66,851204,Insider,Zero-day,Firewall,3.0,3,59.51569776457817,High
UK,2017,Man-in-the-Middle,Government,79.27,923309,Hacker Group,Unpatched Software,Firewall,29.0,2,85.85424814444568,High
Brazil,2023,Phishing,Banking,71.86,151590,Nation-state,Zero-day,Antivirus,30.0,8,474.0418233392704,Medium
UK,2022,DDoS,Education,21.01,452432,Nation-state,Unpatched Software,Firewall,8.0,7,46.43791774233476,Low
Japan,2015,Ransomware,Retail,95.38,769596,Nation-state,Weak Passwords,VPN,65.0,0,123.93515558812676,High
Germany,2022,Phishing,Banking,14.79,407151,Unattributed,Weak Passwords,Antivirus,37.0,7,36.32558927768813,Low
Brazil,2023,DDoS,IT,45.97,312555,Nation-state,Social Engineering,AI-based Detection,67.0,8,147.07811425189166,Low
Brazil,2019,Man-in-the-Middle,Government,76.39,311908,Unattributed,Weak Passwords,Encryption,68.0,4,244.9119612193339,High
China,2018,Malware,Banking,68.55,59979,Insider,Zero-day,Firewall,41.0,3,1142.9000150052518,Medium
Japan,2019,Malware,IT,9.86,233545,Unattributed,Zero-day,Antivirus,55.0,4,42.21884433406838,Low
France,2020,Man-in-the-Middle,Retail,89.85,722081,Hacker Group,Zero-day,VPN,33.0,5,124.43202355414421,High
Russia,2024,SQL Injection,Healthcare,76.99,873037,Nation-state,Unpatched Software,Antivirus,31.0,9,88.18641134339094,High
India,2022,Malware,IT,12.08,482213,Nation-state,Social Engineering,AI-based Detection,3.0,7,25.05117033344186,Low
India,2020,Phishing,Education,39.72,512850,Hacker Group,Zero-day,Antivirus,15.0,5,77.44954665106756,Medium
China,2023,Man-in-the-Middle,Telecommunications,37.73,849834,Hacker Group,Zero-day,AI-based Detection,56.0,8,44.39690574865209,High
Brazil,2022,Malware,Retail,78.03,660707,Insider,Unpatched Software,Firewall,11.0,7,118.1007617597513,High
USA,2021,Ransomware,Education,6.77,697935,Unattributed,Social Engineering,AI-based Detection,16.0,6,9.700043700344589,Medium
Russia,2019,Malware,IT,71.92,500655,Nation-state,Zero-day,AI-based Detection,8.0,4,143.65181612088165,Medium
USA,2020,Ransomware,IT,95.79,239343,Nation-state,Zero-day,VPN,63.0,5,400.22060390318495,High
China,2023,Phishing,Retail,90.04,143728,Unattributed,Zero-day,AI-based Detection,57.0,8,626.461093175999,High
